✅ 其他入库 | 1 行数=实体条数 | 3==3
✅ 其他入库 | 1b 列结构=表头列数 | th=9 行td集=[9]
✅ 其他入库 | 1c 首行逐格=实体 cells | 数据格 7 vs 期望 6
✅ 其他入库 | 2 行单号=实体键 | True
✅ 其他入库 | 3 详情弹窗标题=行单号 | 逐行实点 3 行全过
✅ 其他入库 | 4 select 过滤（单据编号=盘盈） | 1 行（全量 3，字段最优匹配 1）
✅ 其他入库 | 4 input 过滤（尾3位=003） | 1==1
✅ 其他入库 | 5 重置恢复全量 | 3==3
✅ 其他入库 | 6 stab 计数=统计值 | 全部:3 待审核:1 已入库:2
✅ 其他入库 | 0 JS 错误 | 0
✅ 租入入库 | 1 行数=实体条数 | 3==3
✅ 租入入库 | 1b 列结构=表头列数 | th=11 行td集=[11]
✅ 租入入库 | 1c 首行逐格=实体 cells | 数据格 9 vs 期望 8
✅ 租入入库 | 2 行单号=实体键 | True
✅ 租入入库 | 3 详情弹窗标题=行单号 | 逐行实点 3 行全过
✅ 租入入库 | 4 select 过滤（入库单号=路凯包装运营（上海）有限公司） | 3 行（全量 3，字段最优匹配 3）
✅ 租入入库 | 4 input 过滤（尾3位=021） | 1==1
✅ 租入入库 | 5 重置恢复全量 | 3==3
✅ 租入入库 | 6 stab 计数=统计值 | 全部:3 待入库:1 已入库:2
✅ 租入入库 | 7 ?notes=1 pin 抽验 | data-note=2/≥2 层=开 实点打开=1
✅ 租入入库 | 0 JS 错误 | 0
✅ 销售出库 | 1 行数=实体条数 | 6==6
✅ 销售出库 | 1b 列结构=表头列数 | th=11 行td集=[11]
✅ 销售出库 | 1c 首行逐格=实体 cells | 数据格 9 vs 期望 8
✅ 销售出库 | 2 行单号=实体键 | True
✅ 销售出库 | 3 详情弹窗标题=行单号 | 逐行实点 6 行全过
✅ 销售出库 | 4 select 过滤（出库单号=一汽解放汽车有限公司） | 6 行（全量 6，字段最优匹配 3）
✅ 销售出库 | 4 input 过滤（尾3位=015） | 1==1
✅ 销售出库 | 5 重置恢复全量 | 6==6
✅ 销售出库 | 6 stab 计数=统计值 | 全部:6 待审核:1 已完成:5
✅ 销售出库 | 0 JS 错误 | 0
✅ 组合出库 | 1 行数=实体条数 | 8==8
✅ 组合出库 | 1b 列结构=表头列数 | th=11 行td集=[11]
✅ 组合出库 | 1c 首行逐格=实体 cells | 数据格 9 vs 期望 8
✅ 组合出库 | 2 行单号=实体键 | True
✅ 组合出库 | 3 详情弹窗标题=行单号 | 逐行实点 8 行全过
✅ 组合出库 | 4 select 过滤（出库单号=PRJ-2601） | 3 行（全量 8，字段最优匹配 3）
✅ 组合出库 | 4 input 过滤（尾3位=016） | 1==1
✅ 组合出库 | 5 重置恢复全量 | 8==8
✅ 组合出库 | 6 stab 计数=统计值 | 拣货中:1
✅ 组合出库 | 7 ?notes=1 pin 抽验 | data-note=4/≥2 层=开 实点打开=1
✅ 组合出库 | 0 JS 错误 | 0
✅ 其他出库 | 1 行数=实体条数 | 5==5
