✅ 应付账单 | 1 行数=实体条数 | 11==11
✅ 应付账单 | 1b 列结构=表头列数 | th=15 行td集=[15]
✅ 应付账单 | 1c 首行逐格=实体 cells | 数据格 13 vs 期望 12
✅ 应付账单 | 2 行单号=实体键 | True
✅ 应付账单 | 3 详情弹窗标题=行单号 | 逐行实点 11 行全过
✅ 应付账单 | 4 select 过滤（应付账单号=苏州联恒五金制品有限公司） | 11 行（全量 11，字段最优匹配 2）
✅ 应付账单 | 4 input 过滤（尾3位=013） | 1==1
✅ 应付账单 | 5 重置恢复全量 | 11==11
✅ 应付账单 | 6 stab 计数=统计值 | 全部:11 未付款:6 部分付款:1 已付款:4
✅ 应付账单 | 7 ?notes=1 pin 抽验 | data-note=5/≥3 层=开 实点打开=1
✅ 应付账单 | 0 JS 错误 | 0
✅ 应收账单 | 1 行数=实体条数 | 14==14
✅ 应收账单 | 1b 列结构=表头列数 | th=13 行td集=[13]
✅ 应收账单 | 1c 首行逐格=实体 cells | 数据格 11 vs 期望 10
✅ 应收账单 | 2 行单号=实体键 | True
✅ 应收账单 | 3 详情弹窗标题=行单号 | 逐行实点 14 行全过
✅ 应收账单 | 4 select 过滤（账单编号=一汽解放汽车有限公司） | 5 行（全量 14，字段最优匹配 5）
✅ 应收账单 | 4 input 过滤（尾3位=015） | 1==1
✅ 应收账单 | 5 重置恢复全量 | 14==14
✅ 应收账单 | 6 stab 计数=统计值 | 全部:14 未开票:7 已开票:14 部分收款:2 已结清:4
✅ 应收账单 | 7 ?notes=1 pin 抽验 | data-note=3/≥3 层=开 实点打开=1
✅ 应收账单 | 0 JS 错误 | 0
✅ 付款登记 | 1 行数=实体条数 | 5==5
✅ 付款登记 | 1b 列结构=表头列数 | th=9 行td集=[9]
✅ 付款登记 | 1c 首行逐格=实体 cells | 数据格 7 vs 期望 6
✅ 付款登记 | 2 行单号=实体键 | True
✅ 付款登记 | 3 详情弹窗标题=行单号 | 逐行实点 5 行全过
✅ 付款登记 | 4 select 过滤（付款编号=苏州联恒五金制品有限公司） | 5 行（全量 5，字段最优匹配 2）
✅ 付款登记 | 4 input 过滤（尾3位=005） | 1==1
✅ 付款登记 | 5 重置恢复全量 | 5==5
✅ 付款登记 | 6 stab 计数=统计值 | 全部:5 待确认:1 已确认:4
✅ 付款登记 | 0 JS 错误 | 0
✅ 回款登记 | 1 行数=实体条数 | 5==5
✅ 回款登记 | 1b 列结构=表头列数 | th=10 行td集=[10]
✅ 回款登记 | 1c 首行逐格=实体 cells | 数据格 8 vs 期望 7
✅ 回款登记 | 2 行单号=实体键 | True
✅ 回款登记 | 3 详情弹窗标题=行单号 | 逐行实点 5 行全过
