✅ 租赁单列表 | 1 行数=实体条数 | 9==9
✅ 租赁单列表 | 1b 列结构=表头列数 | th=11 行td集=[11]
✅ 租赁单列表 | 1c 首行逐格=实体 cells | 数据格 9 vs 期望 8
✅ 租赁单列表 | 2 行单号=实体键 | True
✅ 租赁单列表 | 3 详情弹窗标题=行单号 | 逐行实点 7 行全过
✅ 租赁单列表 | 4 select 过滤（租赁单号=一汽解放汽车有限公司） | 9 行（全量 9，字段最优匹配 4）
✅ 租赁单列表 | 4 input 过滤（尾3位=033） | 1==1
✅ 租赁单列表 | 5 重置恢复全量 | 9==9
✅ 租赁单列表 | 0 JS 错误 | 0
✅ 客商管理 | 1 行数=实体条数 | 8==8
✅ 客商管理 | 1b 列结构=表头列数 | th=10 行td集=[10]
✅ 客商管理 | 1c 首行逐格=实体 cells | 数据格 8 vs 期望 7
✅ 客商管理 | 2 行单号=实体键 | True
✅ 客商管理 | 3 详情弹窗标题=行单号 | 逐行实点 8 行全过
✅ 客商管理 | 4 select 过滤（客商名称=客户） | 4 行（全量 8，字段最优匹配 4）
✅ 客商管理 | 4 input 过滤（尾3位=001） | 1==1
✅ 客商管理 | 5 重置恢复全量 | 8==8
✅ 客商管理 | 6 stab 计数=统计值 | 全部:8 客户:4 供应商:4
✅ 客商管理 | 0 JS 错误 | 0
✅ 产品档案 | 1 行数=实体条数 | 12==12
✅ 产品档案 | 1b 列结构=表头列数 | th=13 行td集=[13]
✅ 产品档案 | 1c 首行逐格=实体 cells | 数据格 11 vs 期望 10
✅ 产品档案 | 2 行单号=实体键 | True
✅ 产品档案 | 3 详情弹窗标题=行单号 | 逐行实点 12 行全过
✅ 产品档案 | 4 select 过滤（物料编码=围板箱） | 2 行（全量 12，字段最优匹配 2）
✅ 产品档案 | 4 input 过滤（尾3位=10L） | 1==1
✅ 产品档案 | 5 重置恢复全量 | 12==12
✅ 产品档案 | 0 JS 错误 | 0
✅ 库位档案 | 1 行数=实体条数 | 11==11
✅ 库位档案 | 1b 列结构=表头列数 | th=9 行td集=[9]
✅ 库位档案 | 1c 首行逐格=实体 cells | 数据格 7 vs 期望 6
✅ 库位档案 | 2 行单号=实体键 | True
✅ 库位档案 | 3 详情弹窗标题=行单号 | 逐行实点 11 行全过
✅ 库位档案 | 4 select 过滤（库房=原料区 RA） | 0 行（全量 11，字段最优匹配 3）
✅ 库位档案 | 4 input 过滤（尾3位=JZX） | 1==1
✅ 库位档案 | 5 重置恢复全量 | 11==11
✅ 库位档案 | 0 JS 错误 | 0
✅ BOM维护 | 1 行数=实体条数 | 3==3
✅ BOM维护 | 1b 列结构=表头列数 | th=6 行td集=[6]
✅ BOM维护 | 1c 首行逐格=实体 cells | 数据格 5 vs 期望 4
✅ BOM维护 | 2 行单号=实体键 | True
✅ BOM维护 | 3 详情弹窗标题=行单号 | 逐行实点 3 行全过
✅ BOM维护 | 0 JS 错误 | 0

==== batch3 验证门：43 项断言，失败 0 项 ====
