PASS purchaseOrders | 无JS错误 | 卡['订单信息', '采购明细', '流转信息']·明细列['序号', '物料编码', '物料名称', '规格']·dgrid0·链5·时间线4
PASS leaseOrders | 无JS错误 | 卡['租赁信息', '租赁明细', '流转信息']·明细列['序号', '物料编码', '物料名称', '规格']·dgrid0·链2·时间线2
PASS transferOutbounds | 无JS错误 | 卡['转移信息', '转移明细', '流转信息']·明细列['序号', '物料编码', '物料名称', '规格']·dgrid0·链3·时间线2
PASS otherOutbounds | 无JS错误 | 卡['出库信息', '出库明细', '流转信息']·明细列['序号', '物料编码', '物料名称', '规格']·dgrid0·链3·时间线3
PASS stocktakes | 无JS错误 | 卡['基本信息', '盘点明细', '流转信息']·明细列['序号', '物料编码', '物料名称', '规格']·dgrid0·链3·时间线3
PASS receipts | 无JS错误 | 卡['收款信息', '收款明细', '流转信息']·明细列['关联账单', '费用项', '本次收款(元)', '核销去向']·dgrid0·链4·时间线3
PASS payments | 无JS错误 | 卡['付款信息', '分期付款计划', '流转信息']·明细列['笔次', '比例(%)', '分期金额(元)', '计划日期']·dgrid0·链3·时间线2
PASS rentInOrders | 无JS错误 | 卡['租入信息', '租入明细', '流转信息']·明细列['序号', '物料编码', '物料名称', '规格']·dgrid0·链3·时间线2
PASS 审核页·transferOutbounds | 无JS错误 | 卡['转移信息', '转移明细', '流转信息']·明细列['序号', '物料编码', '物料名称', '规格']·dgrid0·链3·时间线2

渲染门小结: 9 PASS / 0 FAIL
